file_name,location_type,window_type,gurobi_result,greedy_result,tabu_result
C101.txt,0,0,0,25891.81038015547,19026.634539893945
C102.txt,0,0,0,22238.773797067683,16225.263397848285
C103.txt,0,0,0,18863.212129243417,14820.3614917577
C104.txt,0,0,0,14699.697650340891,12493.143099297402
C105.txt,0,0,0,16776.463504023082,11725.530128205211
C106.txt,0,0,0,19459.638055218933,13897.799748662115
C107.txt,0,0,0,13751.454380122335,10777.646883542877
C108.txt,0,0,0,12031.183027828276,10056.494232773017
C109.txt,0,0,0,11489.434626544302,9938.646431898322
C201.txt,0,1,0,10232.666336037482,9779.85766872008
C202.txt,0,1,0,18722.113362647677,11299.26228687468
C203.txt,0,1,0,16062.494490665908,11087.466438908254
C204.txt,0,1,0,14095.380785375984,11401.292124068072
C205.txt,0,1,0,10231.864776319382,9675.190101712084
C206.txt,0,1,0,9932.268070949049,9672.509507694003
C207.txt,0,1,0,10158.591507979469,9719.73525989272
C208.txt,0,1,0,9821.643428866177,9618.445973635937
R101.txt,1,0,0,4677.986005669996,3638.055074760999
R102.txt,1,0,0,4095.898477307848,3156.896984079627
R103.txt,1,0,0,3634.457158606803,2803.1375733243426
R104.txt,1,0,0,3028.929655621632,2447.5768848012863
R105.txt,1,0,0,4044.481964893,2769.150447995548
R106.txt,1,0,0,3805.936728984304,2728.060175930106
R107.txt,1,0,0,3379.6088259475728,2562.546597980973
R108.txt,1,0,0,2844.7434061372314,2161.914950955233
R109.txt,1,0,0,3374.1393492239304,2599.959123703364
R110.txt,1,0,0,3116.1238343773784,2482.216425340097
R111.txt,1,0,0,2989.832289765487,2386.3767234073016
R112.txt,1,0,0,2524.04598156004,2139.337468608292
R201.txt,1,1,0,3507.361504869165,2795.06546164442
R202.txt,1,1,0,3583.2644312434822,2656.1885653031227
R203.txt,1,1,0,2983.7659681484656,2410.7609290703126
R204.txt,1,1,0,2487.542147036329,2196.364118003321
R205.txt,1,1,0,3149.4297324340805,2439.468562061205
R206.txt,1,1,0,2721.740576292036,2208.1468764150177
R207.txt,1,1,0,2645.763827739732,2091.373083521556
R208.txt,1,1,0,2235.718660308966,1944.7711195289248
R209.txt,1,1,0,2736.7102050321164,2279.5742692409067
R210.txt,1,1,0,3072.7165867105537,2411.566540242711
R211.txt,1,1,0,2234.221060204439,1955.4450663446185
RC101.txt,2,0,0,4441.904940772543,3367.9833148938446
RC102.txt,2,0,0,4246.787725580819,3011.6663495144912
RC103.txt,2,0,0,3720.156792682093,2679.4687539759816
RC104.txt,2,0,0,2937.859081964308,2417.9706859820903
RC105.txt,2,0,0,4060.19718088575,2996.042706451748
RC106.txt,2,0,0,3564.4820345283774,2728.8821322705035
RC107.txt,2,0,0,3288.0237007475057,2634.960665535912
RC108.txt,2,0,0,3018.5740719844844,2470.79424592266
RC201.txt,2,1,0,4161.0137763675,3193.1871105399027
RC202.txt,2,1,0,3547.446972493186,2736.066811224104
RC203.txt,2,1,0,3235.520534369625,2629.8165048899864
RC204.txt,2,1,0,2461.213187010531,2097.8976799940788
RC205.txt,2,1,0,3493.7419945224524,2910.55071017504
RC206.txt,2,1,0,3311.142119776433,2538.2583021894734
RC207.txt,2,1,0,3381.515971516198,2376.5340401406925
RC208.txt,2,1,0,2585.0035607463105,2113.193324160878
